人民幣	人民幣 ￥ 💴
指着	指着 🫵
指着你	指着你 🫵
指你	指你 🫵
指我	指我 🫵
指人	指人 🫵
拇指	拇指 👍 👎 👍🏻
大拇指	大拇指 👍 👎 👍🏻
大拇指向上	大拇指向上 👍
拇指向上	拇指向上 👍 👎
大拇指朝上	大拇指朝上 👍
拇指朝上	拇指朝上 👍
強	強 👍
好強	好強 👍
棒	棒 👍 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿 💯 😺 🤩
棒啊	棒啊 👍
真棒	真棒 👍 💯 😺 👍🏻
好棒	好棒 👍 😺 👍🏻 🤩
很棒	很棒 👍
特棒	特棒 👍
非常棒	非常棒 👍
棒棒	棒棒 👍
棒棒的	棒棒的 👍
棒棒噠	棒棒噠 👍
太棒	太棒 👍
太棒了	太棒了 👍
太棒啦	太棒啦 👍
幹得好	幹得好 👍
很好	很好 👍
不錯	不錯 👍 😎
表揚	表揚 👍
牛逼	牛逼 👍 🐮🍺 🐮🍻 🐂🍺 🐂🍻
厲害	厲害 👍 😼 🤩
讚	讚 👍 👍🏻
點讚	點讚 👍
絕了	絕了 👍
大拇指向下	大拇指向下 👎
大拇指朝下	大拇指朝下 👎
拇指朝下	拇指朝下 👎
不好	不好 👎 🆖 🙅 🙅🏻‍♀ 🙅🏻‍♂ 🆖️ 🙅🏻
不強	不強 👎
不棒	不棒 👎
太差	太差 👎
太差了	太差了 👎
太差啦	太差啦 👎
差勁	差勁 👎
舉起拳頭	舉起拳頭 ✊ ✊🏻
舉起的拳頭	舉起的拳頭 ✊
握拳	握拳 ✊
握緊的拳頭	握緊的拳頭 👊
拳頭	拳頭 👊 ✊ 👊🏻
出拳	出拳 👊
打擊	打擊 👊
重拳出擊	重拳出擊 👊
打你	打你 👊 👊🏻
揍你	揍你 👊
幹你	幹你 👊
左向拳	左向拳 🤛
朝左的拳頭	朝左的拳頭 🤛
右鉤拳	右鉤拳 🤛
右拳	右拳 🤛 🤛🏻
右向拳	右向拳 🤜
朝右的拳頭	朝右的拳頭 🤜
左鉤拳	左鉤拳 🤜
左拳	左拳 🤜 🤜🏻
鼓掌	鼓掌 👏 👏🏻 👏🏼 👏🏽 👏🏾 👏🏿
拍手	拍手 👏 👏🏻 👏🏼 👏🏽 👏🏾 👏🏿
拍掌	拍掌 👏
啪啪啪	啪啪啪 👏
揚手歡呼	揚手歡呼 🙌
舉雙手	舉雙手 🙌
做成心形的雙手	做成心形的雙手 🫶
雙手張開	雙手張開 👐
張開雙手	張開雙手 👐 👐🏻
雙手手掌向上	雙手手掌向上 🤲
掌心向上托起	掌心向上托起 🤲
雙手	雙手 🤲
捧着	捧着 🤲
握手	握手 🤝 🤝🏻
合作	合作 🤝 🤝🏻
合作愉快	合作愉快 🤝
搞定	搞定 🤝
雙手合十	雙手合十 🙏
合十	合十 🙏
合掌	合掌 🙏
拜託	拜託 🙏 🥺
祈求	祈求 🙏
祈禱	祈禱 🙏
感謝	感謝 🙏 🙏🏻
謝謝	謝謝 🙏 😎 🙏🏻
超度	超度 🙏
阿彌陀佛	阿彌陀佛 🙏
寫字	寫字 ✍️ ✍ ✍🏻 ✍🏻️
手寫	手寫 ✍️ ✍ ✍🏻 ✍🏻️
指甲油	指甲油 💅 💅🏻 💅🏼 💅🏽 💅🏾 💅🏿
塗指甲油	塗指甲油 💅
美甲	美甲 💅 💅🏻
做指甲	做指甲 💅
做美甲	做美甲 💅
自拍	自拍 🤳 🤳🏻 🤳🏼 🤳🏽 🤳🏾 🤳🏿
二頭肌	二頭肌 💪
肱二頭肌	肱二頭肌 💪
肱二頭	肱二頭 💪
強壯	強壯 💪
肌肉	肌肉 💪 🦾 💪🏻 💪🏼 💪🏽 💪🏾 💪🏿
秀肌肉	秀肌肉 💪
健身	健身 💪
奮鬥	奮鬥 💪
努力	努力 💪
義肢	義肢 🦾 🦿
義體	義體 🦾 🦿
賽博朋克	賽博朋克 🦾 🦿
機械手臂	機械手臂 🦾
機械臂	機械臂 🦾
機械腿	機械腿 🦿
腿	腿 🦵 🦿 🦵🏻 🦵🏼 🦵🏽 🦵🏾 🦵🏿
腿兒	腿兒 🦵
大腿	大腿 🦵 🦵🏻
練腿	練腿 🦵
腳	腳 🦶 🦶🏻
足	足 🦶 🦶🏻
踢	踢 🦶
踩	踩 🦶 👎 👎🏻
腳丫	腳丫 🦶
腳丫子	腳丫子 🦶
聽	聽 👂
耳	耳 👂 🦻 👂🏻 👂🏼 👂🏽 👂🏾 👂🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
耳朵	耳朵 👂 🦻 👂🏻 👂🏼 👂🏽 👂🏾 👂🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
助聽器	助聽器 🦻 🦻🏻
聽力障礙	聽力障礙 🦻
戴助聽器的耳朵	戴助聽器的耳朵 🦻
嗅	嗅 👃
聞	聞 👃
鼻	鼻 👃 👃🏻 👃🏼 👃🏽 👃🏾 👃🏿
鼻子	鼻子 👃 👃🏻 👃🏼 👃🏽 👃🏾 👃🏿
呼吸	呼吸 👃
大腦	大腦 🧠
頭腦	頭腦 🧠
腦花	腦花 🧠
腦子	腦子 🧠
腦	腦 🧠
心臟	心臟 🫀
心臟器官	心臟器官 🫀
肺	肺 🫁
吸氣	吸氣 🫁
呼吸作用	呼吸作用 🫁
牙	牙 🦷
牙齒	牙齒 🦷
牙牙	牙牙 🦷
骨頭	骨頭 🦴
骨骼	骨骼 🦴
眼	眼 👀 👁 👁‍🗨 👁️
眼睛	眼睛 👀 👁 👁‍🗨
注視	注視 👀 👁 👁️
觀察	觀察 👀
看	看 👀
看看	看看 👀
單眼	單眼 👁
一隻眼	一隻眼 👁
一隻眼睛	一隻眼睛 👁
舌	舌 👅
舌頭	舌頭 👅
口	口 👄
嘴	嘴 👄
嘴脣	嘴脣 👄
嘴巴	嘴巴 👄
咬嘴脣	咬嘴脣 🫦
咬住嘴脣	咬住嘴脣 🫦
調情	調情 🫦
情調	情調 🫦
誘惑	誘惑 🫦
嬰兒	嬰兒 👶 🚼 👶🏻
寶寶	寶寶 👶 🚼
小寶貝	小寶貝 👶
小寶貝兒	小寶貝兒 👶
baby	baby 👶 🚼
乖寶	乖寶 👶
乖寶寶	乖寶寶 👶
兒童	兒童 🧒 🧒🏻
小孩	小孩 🧒 👦 👧 🧒🏻
小孩兒	小孩兒 🧒
孩子	孩子 🧒 👦 👧 🧒🏻
小孩子	小孩子 🧒
小朋友	小朋友 🧒
小盆友	小盆友 🧒
男孩	男孩 👦 👦🏻 👦🏼 👦🏽 👦🏾 👦🏿
小男孩	小男孩 👦
兒子	兒子 👦 👨‍👩‍👦 👦🏻
女孩	女孩 👧 🧒 👧🏻 👧🏼 👧🏽 👧🏾 👧🏿 🧒🏻 🧒🏼 🧒🏽 🧒🏾 🧒🏿
小女孩	小女孩 👧
女兒	女兒 👧 👨‍👩‍👧 👧🏻
金髮	金髮 👱 👱‍♀️ 👱‍♂️ 👱🏻‍♀ 👱🏻‍♂ 👱🏼
金色頭髮	金色頭髮 👱 👱‍♀️ 👱‍♂️
金髮女	金髮女 👱 👱‍♀️ 👱🏼‍♀️
金髮女子	金髮女子 👱 👱‍♀️ 👱🏻‍♀
金髮女人	金髮女人 👱 👱‍♀️
男人	男人 👨 👨‍🦰 👱‍♂ 👨‍🦳 👨‍🦲 🧔 👴 👲 👯‍♂ 🚹 🧍‍♂ 👨🏻 👨🏼 👨🏽 👨🏾 👨🏿 👨🏻‍🦱 👨🏼‍🦱 👨🏽‍🦱 👨🏾‍🦱 👨🏿‍🦱 👨🏻‍🦰 👨🏼‍🦰 👨🏽‍🦰 👨🏾‍🦰 👨🏿‍🦰 👱🏻‍♂ 👱🏼‍♂ 👱🏽‍♂ 👱🏾‍♂ 👱🏿‍♂ 👨🏻‍🦳 👨🏼‍🦳 👨🏽‍🦳 👨🏾‍🦳 👨🏿‍🦳 👨🏻‍🦲 👨🏼‍🦲 👨🏽‍🦲 👨🏾‍🦲 👨🏿‍🦲 🧔🏻 🧔🏼 🧔🏽 🧔🏾 🧔🏿 👴🏻 👴🏼 👴🏽 👴🏾 👴🏿 👲🏻 👲🏼 👲🏽 👲🏾 👲🏿
成年男人	成年男人 👨
成年男性	成年男性 👨
爸爸	爸爸 👨 👨🏻
父親	父親 👨 👨🏻
老爹	老爹 👨
有鬍鬚的人	有鬍鬚的人 🧔
有鬍子的人	有鬍子的人 🧔
絡腮鬍	絡腮鬍 🧔 🧔🏻
鬍子	鬍子 🧔 🧔🏻
鬍鬚	鬍鬚 🧔 🧔🏻
大叔	大叔 🧔
長鬍子的女人	長鬍子的女人 🧔‍♀️
鬍子女	鬍子女 🧔‍♀️ 🧔🏻‍♀️
紅髮	紅髮 👨‍🦰 👩‍🦰 🦰 👨🏻‍🦰 👩🏻‍🦰 🧑🏻‍🦰
紅色頭髮	紅色頭髮 👨‍🦰 👩‍🦰 🦰
紅髮男	紅髮男 👨‍🦰 👨‍🦱 👨🏻‍🦰
紅髮男子	紅髮男子 👨‍🦰 👨‍🦱
紅髮男人	紅髮男人 👨‍🦰 👨‍🦱
捲髮	捲髮 👨‍🦱 👩‍🦱 🦱 👨🏻‍🦱 👩🏻‍🦱 🧑🏻‍🦱
白髮	白髮 👨‍🦳 👩‍🦳 🦳 👨🏻‍🦳 👩🏻‍🦳 🧑🏻‍🦳
白色頭髮	白色頭髮 👨‍🦳 👩‍🦳
白髮男	白髮男 👨‍🦳 👨🏻‍🦳
白髮男子	白髮男子 👨‍🦳
白髮男人	白髮男人 👨‍🦳
光頭	光頭 👨‍🦲 👩‍🦲 🦲 👨🏻‍🦲 👩🏻‍🦲 🧑🏻‍🦲
光頭男	光頭男 👨‍🦲 👨🏻‍🦲
光頭男子	光頭男子 👨‍🦲
光頭男人	光頭男人 👨‍🦲
禿頂	禿頂 👨‍🦲 👩‍🦲 🦲
禿頭	禿頭 👨‍🦲 👩‍🦲 🦲 👨🏻‍🦲 👩🏻‍🦲 🧑🏻‍🦲
頭禿	頭禿 👨‍🦲 👩‍🦲 🦲
脫髮	脫髮 👨‍🦲 👩‍🦲 🦲
和尚	和尚 👨‍🦲
女人	女人 👩 🧑 👩‍🦱 👩‍🦰 👱‍♀ 👩‍🦳 👩‍🦲 👵 🧓 👯‍♀ 🚺 🧍‍♀ 👩🏻 👩🏼 👩🏽 👩🏾 👩🏿 🧑🏻 🧑🏼 🧑🏽 🧑🏾 🧑🏿 👩🏻‍🦱 👩🏼‍🦱 👩🏽‍🦱 👩🏾‍🦱 👩🏿‍🦱 👩🏻‍🦰 👩🏼‍🦰 👩🏽‍🦰 👩🏾‍🦰 👩🏿‍🦰 👱🏻‍♀ 👱🏼‍♀ 👱🏽‍♀ 👱🏾‍♀ 👱🏿‍♀ 👩🏻‍🦳 👩🏼‍🦳 👩🏽‍🦳 👩🏾‍🦳 👩🏿‍🦳 👩🏻‍🦲 👩🏼‍🦲 👩🏽‍🦲 👩🏾‍🦲 👩🏿‍🦲 👵🏻 👵🏼 👵🏽 👵🏾 👵🏿 🧓🏻 🧓🏼 🧓🏽 🧓🏾 🧓🏿
成年女人	成年女人 👩
成年女性	成年女性 👩
媽媽	媽媽 👩 👩🏻
母親	母親 👩 👩🏻
老媽	老媽 👩 👩🏻
紅頭髮	紅頭髮 👩‍🦰 🦰 🧑🏻‍🦰
紅髮女	紅髮女 👩‍🦰 👩🏻‍🦰
紅髮女子	紅髮女子 👩‍🦰
紅髮女人	紅髮女人 👩‍🦰
捲髮女	捲髮女 👩‍🦱 👩🏻‍🦱
捲髮女子	捲髮女子 👩‍🦱
捲髮女人	捲髮女人 👩‍🦱
白髮女	白髮女 👩‍🦳 👩🏻‍🦳
白髮女子	白髮女子 👩‍🦳
白髮女人	白髮女人 👩‍🦳
光頭女	光頭女 👩‍🦲 👩🏻‍🦲
光頭女子	光頭女子 👩‍🦲
光頭女人	光頭女人 👩‍🦲
尼姑	尼姑 👩‍🦲
金髮男	金髮男 👱‍♂️ 👱🏼‍♂️
金髮男子	金髮男子 👱‍♂️ 👱 👱🏻‍♂
金髮男人	金髮男人 👱‍♂️
老人	老人 👴 👵 👨‍🦳 🧓 👴🏻 👴🏼 👴🏽 👴🏾 👴🏿 👨🏻‍🦳 👨🏼‍🦳 👨🏽‍🦳 👨🏾‍🦳 👨🏿‍🦳 👵🏻 👵🏼 👵🏽 👵🏾 👵🏿 🧓🏻 🧓🏼 🧓🏽 🧓🏾 🧓🏿
老頭	老頭 👴 👴🏻
老頭兒	老頭兒 👴
老爺爺	老爺爺 👴
爺爺	爺爺 👴 👴🏻
姥爺	姥爺 👴 👴🏻
外公	外公 👴
祖父	祖父 👴 👴🏻
老太太	老太太 👵 🧓 👵🏻 👵🏼 👵🏽 👵🏾 👵🏿 🧓🏻 🧓🏼 🧓🏽 🧓🏾 🧓🏿
老奶奶	老奶奶 👵
奶奶	奶奶 👵 👵🏻
姥姥	姥姥 👵 👵🏻
外婆	外婆 👵
祖母	祖母 👵 👵🏻
皺着眉頭	皺着眉頭 🙍‍♂️ 🙍‍♀️
皺着眉頭的人	皺着眉頭的人 🙍‍♂️ 🙍‍♀️
噘嘴的人	噘嘴的人 🙎‍♂️ 🙎‍♀️
禁止手勢	禁止手勢 🙅‍♂️ 🙅‍♀️
不	不 🙅‍♂️ 🙅‍♀️ 🙅‍♂ 🙅 🙅‍♀ 🆖 🙅🏻‍♂ 🙅🏼‍♂ 🙅🏽‍♂ 🙅🏾‍♂ 🙅🏿‍♂ 🙅🏻 🙅🏼 🙅🏽 🙅🏾 🙅🏿 🙅🏻‍♀ 🙅🏼‍♀ 🙅🏽‍♀ 🙅🏾‍♀ 🙅🏿‍♀
不行	不行 🙅‍♂️ 🙅‍♀️ 🙅‍♂ 🙅 🙅‍♀ 🆖 🙅🏻‍♂ 🙅🏼‍♂ 🙅🏽‍♂ 🙅🏾‍♂ 🙅🏿‍♂ 🙅🏻 🙅🏼 🙅🏽 🙅🏾 🙅🏿 🙅🏻‍♀ 🙅🏼‍♀ 🙅🏽‍♀ 🙅🏾‍♀ 🙅🏿‍♀ ✋ 😝
反對	反對 🙅‍♂️ 🙅‍♀️ 🙅
拒絕	拒絕 🙅‍♂️ 🙅‍♀️ ❌
不同意	不同意 🙅‍♂️ 🙅‍♀️
不可以	不可以 🙅‍♂️ 🙅‍♀️
同意	同意 🙆‍♂️ 🙆‍♀️ 🙆
可以	可以 🙆‍♂️ 🙆‍♀️ 🉑 🙆‍♂ 🙆 🙆‍♀ 👌 👍 🆗 🙆🏻‍♂ 🙆🏼‍♂ 🙆🏽‍♂ 🙆🏾‍♂ 🙆🏿‍♂ 🙆🏻 🙆🏼 🙆🏽 🙆🏾 🙆🏿 🙆🏻‍♀ 🙆🏼‍♀ 🙆🏽‍♀ 🙆🏾‍♀ 🙆🏿‍♀ 👌🏻 👌🏼 👌🏽 👌🏾 👌🏿 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿 😉 🆗️
服務員	服務員 💁‍♂️ 💁‍♀️ 💁 💁🏻‍♀ 💁🏻‍♂ 💁🏻
男服務員	男服務員 💁‍♂️ 💁🏻‍♂
女服務員	女服務員 💁‍♀️ 💁🏻‍♀
舉手	舉手 🙋‍♂️ 🙋‍♀️ 🙋
我知道	我知道 🙋‍♂️ 🙋‍♀️
這個我知道	這個我知道 🙋‍♂️ 🙋‍♀️
失聰者	失聰者 🧏‍♂️ 🧏‍♀️
失聰	失聰 🧏‍♂️ 🧏‍♀️
耳聾	耳聾 🧏‍♂️ 🧏‍♀️ 🧏🏻
聾子	聾子 🧏‍♂️ 🧏‍♀️ 🧏🏻
不好意思	不好意思 🙇‍♂️ 🙇‍♀️ 🙏 🙏🏻
對不起	對不起 🙇‍♂️ 🙇‍♀️ 🙏 🙏🏻
道歉	道歉 🙇‍♂️ 🙇‍♀️ 🙇
鞠躬	鞠躬 🙇‍♂️ 🙇‍♀️ 🙇‍♂ 🙇‍ 🙇‍♀ 🙇🏻‍♂ 🙇🏼‍♂ 🙇🏽‍♂ 🙇🏾‍♂ 🙇🏿‍♂ 🙇🏻 🙇🏼 🙇🏽 🙇🏾 🙇🏿 🙇🏻‍♀ 🙇🏼‍♀ 🙇🏽‍♀ 🙇🏾‍♀ 🙇🏿‍♀ 🙇
跪求	跪求 🙇‍♂️ 🙇‍♀️
捂臉	捂臉 🤦‍♂️ 🤦‍♀️ 🙈
手掌捂臉	手掌捂臉 🤦‍♂️ 🤦‍♀️
扶額	扶額 🤦‍♂️ 🤦‍♀️
服了	服了 🤦‍♂️ 🤦‍♀️
我服了	我服了 🤦‍♂️ 🤦‍♀️
服了你了	服了你了 🤦‍♂️ 🤦‍♀️
我服了你	我服了你 🤦‍♂️ 🤦‍♀️
我服了你了	我服了你了 🤦‍♂️ 🤦‍♀️
聳肩	聳肩 🤷‍♂️ 🤷‍♀️
不關心	不關心 🤷‍♂️ 🤷‍♀️
不知道	不知道 🤷‍♂️ 🤷‍♀️ 🤷‍♂ 🤷 🤷‍♀ 🤷🏻‍♂ 🤷🏼‍♂ 🤷🏽‍♂ 🤷🏾‍♂ 🤷🏿‍♂ 🤷🏻 🤷🏼 🤷🏽 🤷🏾 🤷🏿 🤷🏻‍♀ 🤷🏼‍♀ 🤷🏽‍♀ 🤷🏾‍♀ 🤷🏿‍♀ 😲
誰知道	誰知道 🤷‍♂️ 🤷‍♀️
誰知道呢	誰知道呢 🤷‍♂️ 🤷‍♀️
醫護人員	醫護人員 👨‍⚕️ 👩‍⚕️
醫生	醫生 👨‍⚕️ 👩‍⚕️ 👨🏻‍⚕ 👩🏻‍⚕ 🧑🏻‍⚕️
男醫護人員	男醫護人員 👨‍⚕️
男醫生	男醫生 👨‍⚕️ 👨🏻‍⚕
大夫	大夫 👨‍⚕️ 👩‍⚕️
男大夫	男大夫 👨‍⚕️
女醫護人員	女醫護人員 👩‍⚕️
女醫生	女醫生 👩‍⚕️ 👩🏻‍⚕
女大夫	女大夫 👩‍⚕️
學生	學生 👨‍🎓 👩‍🎓 🤓 👨🏻‍🎓 👩🏻‍🎓 🧑🏻‍🎓
大學生	大學生 👨‍🎓 👩‍🎓 👨🏻‍🎓 👩🏻‍🎓 🧑🏻‍🎓
男學生	男學生 👨‍🎓 👨🏻‍🎓
畢業	畢業 👨‍🎓 👩‍🎓 🎓
本科生	本科生 👨‍🎓 👩‍🎓
女學生	女學生 👩‍🎓 👩🏻‍🎓
老師	老師 👨‍🏫 👩‍🏫 👨🏻‍🏫 👩🏻‍🏫 🧑🏻‍🏫
教師	教師 👨‍🏫 👩‍🏫 👨🏻‍🏫 👩🏻‍🏫 🧑🏻‍🏫
男老師	男老師 👨‍🏫 👨🏻‍🏫
男教師	男教師 👨‍🏫
女老師	女老師 👩‍🏫 👩🏻‍🏫
女教師	女教師 👩‍🏫
法官	法官 👨‍⚖️ 👩‍⚖️ 👨‍⚖ 🧑‍⚖ 👩‍⚖ 👨🏻‍⚖ 👨🏼‍⚖ 👨🏽‍⚖ 👨🏾‍⚖ 👨🏿‍⚖ 🧑🏻‍⚖ 🧑🏼‍⚖ 🧑🏽‍⚖ 🧑🏾‍⚖ 🧑🏿‍⚖ 👩🏻‍⚖ 👩🏼‍⚖ 👩🏽‍⚖ 👩🏾‍⚖ 👩🏿‍⚖ 🧑🏻‍⚖️
男法官	男法官 👨‍⚖️ 👨🏻‍⚖
女法官	女法官 👩‍⚖️ 👩🏻‍⚖
農民	農民 👨‍🌾 👩‍🌾 👨🏻‍🌾 👩🏻‍🌾 🧑🏻‍🌾
農夫	農夫 👨‍🌾 👨🏻‍🌾
農婦	農婦 👩‍🌾
做飯	做飯 👨‍🍳 👩‍🍳
廚師	廚師 👨‍🍳 👩‍🍳 👨🏻‍🍳 👩🏻‍🍳 🧑🏻‍🍳
大廚	大廚 👨‍🍳 👩‍🍳 👨🏻‍🍳 👩🏻‍🍳 🧑🏻‍🍳
男廚師	男廚師 👨‍🍳 👨🏻‍🍳
下廚	下廚 👨‍🍳 👩‍🍳
女廚師	女廚師 👩‍🍳 👩🏻‍🍳
技工	技工 👨‍🔧 👩‍🔧 👨🏻‍🔧 👩🏻‍🔧 🧑🏻‍🔧
水管工	水管工 👨‍🔧 👩‍🔧
電工	電工 👨‍🔧 👩‍🔧
修理工	修理工 👨‍🔧 👩‍🔧
男技工	男技工 👨‍🔧 👨🏻‍🔧
男水管工	男水管工 👨‍🔧
男電工	男電工 👨‍🔧
男修理工	男修理工 👨‍🔧
女技工	女技工 👩‍🔧 👩🏻‍🔧
女水管工	女水管工 👩‍🔧
女電工	女電工 👩‍🔧
女修理工	女修理工 👩‍🔧
工廠工人	工廠工人 👨‍🏭 👩‍🏭
男工廠工人	男工廠工人 👨‍🏭
女工廠工人	女工廠工人 👩‍🏭
辦公室職員	辦公室職員 👨‍💼 👩‍💼
職員	職員 👨‍💼 👩‍💼 👨🏻‍💼 👩🏻‍💼 🧑🏻‍💼
白領	白領 👨‍💼 👩‍💼 👨🏻‍💼 👩🏻‍💼 🧑🏻‍💼
男辦公室職員	男辦公室職員 👨‍💼
男職員	男職員 👨‍💼 👨🏻‍💼
男白領	男白領 👨‍💼 👨🏻‍💼
女辦公室職員	女辦公室職員 👩‍💼
女職員	女職員 👩‍💼 👩🏻‍💼
女白領	女白領 👩‍💼 👩🏻‍💼
科學家	科學家 👨‍🔬 👩‍🔬 👨🏻‍🔬 👩🏻‍🔬 🧑🏻‍🔬
化學家	化學家 👨‍🔬 👩‍🔬
男科學家	男科學家 👨‍🔬 👨🏻‍🔬
男化學家	男化學家 👨‍🔬
女科學家	女科學家 👩‍🔬 👩🏻‍🔬
女化學家	女化學家 👩‍🔬
程序員	程序員 👨‍💻 👩‍💻 👨🏻‍💻 👩🏻‍💻 🧑🏻‍💻
碼農	碼農 👨‍💻 👩‍💻 👨🏻‍💻
碼畜	碼畜 👨‍💻 👩‍💻
開發人員	開發人員 👨‍💻 👩‍💻
技術員	技術員 👨‍💻 👩‍💻
男程序員	男程序員 👨‍💻 👨🏻‍💻
男碼農	男碼農 👨‍💻
男碼畜	男碼畜 👨‍💻
男開發人員	男開發人員 👨‍💻
男技術員	男技術員 👨‍💻
女程序員	女程序員 👩‍💻 👩🏻‍💻
女碼農	女碼農 👩‍💻
女碼畜	女碼畜 👩‍💻
女開發人員	女開發人員 👩‍💻
女技術員	女技術員 👩‍💻
歌手	歌手 👨‍🎤 👩‍🎤 🧑‍🎤 👨🏻‍🎤 👨🏼‍🎤 👨🏽‍🎤 👨🏾‍🎤 👨🏿‍🎤 🧑🏻‍🎤 🧑🏼‍🎤 🧑🏽‍🎤 🧑🏾‍🎤 🧑🏿‍🎤 👩🏻‍🎤 👩🏼‍🎤 👩🏽‍🎤 👩🏾‍🎤 👩🏿‍🎤 🧑🏻‍🎤️
男歌手	男歌手 👨‍🎤 👨🏻‍🎤
搖滾歌手	搖滾歌手 👨‍🎤 👩‍🎤
搖滾男歌手	搖滾男歌手 👨‍🎤
男搖滾歌手	男搖滾歌手 👨‍🎤
朋克	朋克 👨‍🎤 👩‍🎤
重金屬	重金屬 👨‍🎤 👩‍🎤
女歌手	女歌手 👩‍🎤 👩🏻‍🎤
搖滾女歌手	搖滾女歌手 👩‍🎤
女搖滾歌手	女搖滾歌手 👩‍🎤
藝術家	藝術家 👨‍🎨 👩‍🎨 👨🏻‍🎨 👩🏻‍🎨 🧑🏻‍🎨
男藝術家	男藝術家 👨‍🎨 👨🏻‍🎨
畫家	畫家 👨‍🎨 👩‍🎨 🎨 👨🏻‍🎨 👩🏻‍🎨 🧑🏻‍🎨
男畫家	男畫家 👨‍🎨 👨🏻‍🎨
漫畫家	漫畫家 👨‍🎨 👩‍🎨
男漫畫家	男漫畫家 👨‍🎨
女藝術家	女藝術家 👩‍🎨 👩🏻‍🎨
女畫家	女畫家 👩‍🎨 👩🏻‍🎨
女漫畫家	女漫畫家 👩‍🎨
飛行員	飛行員 👨‍✈️ 👩‍✈️
男飛行員	男飛行員 👨‍✈️
女飛行員	女飛行員 👩‍✈️
宇航員	宇航員 👨‍🚀 👩‍🚀 👨🏻‍🚀 👩🏻‍🚀 🧑🏻‍🚀
男宇航員	男宇航員 👨‍🚀 👨🏻‍🚀
女宇航員	女宇航員 👩‍🚀 👩🏻‍🚀
消防員	消防員 👨‍🚒 👩‍🚒 👨🏻‍🚒 👩🏻‍🚒 🧑🏻‍🚒
男消防員	男消防員 👨‍🚒 👨🏻‍🚒
女消防員	女消防員 👩‍🚒 👩🏻‍🚒
警官	警官 👮‍♂️ 👮‍♀️
警察	警察 👮‍♂️ 👮‍♀️ 👮 👮‍♂ 👮‍♀ 👮🏻‍♂ 👮🏼‍♂ 👮🏽‍♂ 👮🏾‍♂ 👮🏿‍♂ 👮🏻 👮🏼 👮🏽 👮🏾 👮🏿 👮🏻‍♀ 👮🏼‍♀ 👮🏽‍♀ 👮🏾‍♀ 👮🏿‍♀ 🚔
男警官	男警官 👮‍♂️
男警察	男警察 👮‍♂️
女警官	女警官 👮‍♀️
女警察	女警察 👮‍♀️
偵探	偵探 🕵️‍♂️ 🕵️‍♀️ 🕵 🕵🏻‍♀ 🕵🏻‍♂ 🕵🏻
男偵探	男偵探 🕵️‍♂️ 🕵🏻‍♂
女偵探	女偵探 🕵️‍♀️ 🕵🏻‍♀
衛兵	衛兵 💂‍♂️ 💂‍♀️ 💂
衛士	衛士 💂‍♂️ 💂‍♀️ 💂 💂🏻‍♀ 💂🏻‍♂ 💂🏻
男衛兵	男衛兵 💂‍♂️
男衛士	男衛士 💂‍♂️ 💂🏻‍♂
女衛兵	女衛兵 💂‍♀️
女衛士	女衛士 💂‍♀️ 💂🏻‍♀
忍者	忍者 🥷 🥷🏻 🥷🏼 🥷🏽 🥷🏾 🥷🏿
忍術	忍術 🥷
工人	工人 👷‍♂️ 👷‍♀️ 👨‍🔧 👩‍🔧 🧑‍🔧 👨‍🏭 🧑‍🏭 👩‍🏭 👨🏻‍🔧 👨🏼‍🔧 👨🏽‍🔧 👨🏾‍🔧 👨🏿‍🔧 🧑🏻‍🔧 🧑🏼‍🔧 🧑🏽‍🔧 🧑🏾‍🔧 🧑🏿‍🔧 👩🏻‍🔧 👩🏼‍🔧 👩🏽‍🔧 👩🏾‍🔧 👩🏿‍🔧 👨🏻‍🏭 👨🏼‍🏭 👨🏽‍🏭 👨🏾‍🏭 👨🏿‍🏭 🧑🏻‍🏭 🧑🏼‍🏭 🧑🏽‍🏭 🧑🏾‍🏭 🧑🏿‍🏭 👩🏻‍🏭 👩🏼‍🏭 👩🏽‍🏭 👩🏾‍🏭 👩🏿‍🏭 👷 👷🏻‍♀ 👷🏻‍♂ 👷🏻
建築工	建築工 👷‍♂️ 👷‍♀️ 👷🏻‍♀ 👷🏻‍♂ 👷🏻
建築工人	建築工人 👷‍♂️ 👷‍♀️ 👷 👷🏻‍♀ 👷🏻‍♂ 👷🏻
農民工	農民工 👷‍♂️ 👷‍♀️ 👷 👷🏻‍♀ 👷🏻‍♂ 👷🏻
男工人	男工人 👷‍♂️ 👷🏻‍♂
男建築工	男建築工 👷‍♂️
男建築工人	男建築工人 👷‍♂️
男農民工	男農民工 👷‍♂️
女工人	女工人 👷‍♀️ 👷🏻‍♀
女建築工	女建築工 👷‍♀️
女建築工人	女建築工人 👷‍♀️
女農民工	女農民工 👷‍♀️
君主	君主 🫅
戴王冠的人	戴王冠的人 🫅 🫅🏻 🫅🏼 🫅🏽 🫅🏾 🫅🏿
王子	王子 🤴 🤴🏻 🤴🏼 🤴🏽 🤴🏾 🤴🏿
小王子	小王子 🤴
國王	國王 🤴
公主	公主 👸 👸🏻 👸🏼 👸🏽 👸🏾 👸🏿
小公主	小公主 👸
